loc_type,target_type,forecast_date,mean_qs
county,wk ahead inc case,2020-07-05,19.07255322463274
county,wk ahead inc case,2020-07-12,24.56792157297494
county,wk ahead inc case,2020-07-19,29.268874667417112
county,wk ahead inc case,2020-07-26,26.20458701448583
county,wk ahead inc case,2020-08-03,20.416173034065583
county,wk ahead inc case,2020-08-09,15.109658212807568
county,wk ahead inc case,2020-08-16,12.520475428662392
national,wk ahead inc case,2020-07-05,9786.305482142858
national,wk ahead inc case,2020-07-12,48457.24716071429
national,wk ahead inc case,2020-07-19,109580.169625
national,wk ahead inc case,2020-07-26,83667.82033928571
national,wk ahead inc case,2020-08-03,40372.08680952381
national,wk ahead inc case,2020-08-09,9146.12542857143
national,wk ahead inc case,2020-08-16,6867.295714285714
national,wk ahead inc death,2020-07-05,1205.689483152174
national,wk ahead inc death,2020-07-12,535.848280978261
national,wk ahead inc death,2020-07-19,442.02058152173913
national,wk ahead inc death,2020-07-26,385.30212663043477
national,wk ahead inc death,2020-08-03,1192.9705347826086
national,wk ahead inc death,2020-08-09,280.2501739130435
national,wk ahead inc death,2020-08-16,166.1200043478261
state,wk ahead inc case,2020-07-05,641.6772893813776
state,wk ahead inc case,2020-07-12,1090.194751434949
state,wk ahead inc case,2020-07-19,1673.6579772002551
state,wk ahead inc case,2020-07-26,1202.369754942602
state,wk ahead inc case,2020-08-03,738.1532512755102
state,wk ahead inc case,2020-08-09,402.51164349489795
state,wk ahead inc case,2020-08-16,279.209056122449
state,wk ahead inc death,2020-07-05,29.55974964091615
state,wk ahead inc death,2020-07-12,18.42674945652174
state,wk ahead inc death,2020-07-19,17.23100536684783
state,wk ahead inc death,2020-07-26,15.009004396350932
state,wk ahead inc death,2020-08-03,24.03780182453416
state,wk ahead inc death,2020-08-09,10.657286277173913
state,wk ahead inc death,2020-08-16,9.107577639751552
