loc_type,target_type,forecast_date,mean_qs
county,wk ahead inc case,2020-07-05,15.975071240960567
county,wk ahead inc case,2020-07-12,13.731851988296114
county,wk ahead inc case,2020-07-19,12.144850320644016
county,wk ahead inc case,2020-07-26,9.997062104880156
national,wk ahead inc case,2020-07-05,27055.791785714286
national,wk ahead inc case,2020-07-12,13680.826904761907
national,wk ahead inc case,2020-07-19,9450.142321428573
national,wk ahead inc case,2020-07-26,7827.773928571428
national,wk ahead inc death,2020-07-05,728.8365630434782
national,wk ahead inc death,2020-07-12,438.2670601449276
national,wk ahead inc death,2020-07-19,501.6784608695652
national,wk ahead inc death,2020-07-26,448.4189304347826
state,wk ahead inc case,2020-07-05,624.8214953762755
state,wk ahead inc case,2020-07-12,434.5884555697279
state,wk ahead inc case,2020-07-19,347.99723469387754
state,wk ahead inc case,2020-07-26,271.8845778061225
state,wk ahead inc death,2020-07-05,26.674170341614907
state,wk ahead inc death,2020-07-12,20.283841770186335
state,wk ahead inc death,2020-07-19,17.05664373059006
state,wk ahead inc death,2020-07-26,15.538882802795031
